,Codes
343,CLF400
344,CFE040
345,CLF115
346,CM01018 - Banking Bellevue
347,CMN069
348,CLF410
349,CFE022
350,CLF268
351,CLF186
352,CLF159
353,CLF238
354,CFE044
355,CLF399
356,CMN041
357,CMN108
358,CLF233
359,CMN143
360,CMN149
361,CFE058
362,CMN079
363,BF00049 - RCCP KODI Skids FY23
364,CLF293
365,CLF212
366,CLF235
367,CFE001
368,CLF286
369,CMN171
370,CLF347
371,CLF384
372,BF00039 - Condabri Workover Recovery
373,CMN129
374,CLF290
375,CMN141
376,CMN074
377,CLF316
378,CMN154
379,CMN170
380,CMN061
381,CLF314
382,CMN067
383,CLF328
384,BF00051 - CTO SOLO to WHS v2
385,CFE043
386,CFE016
387,CMN126
388,CMN166
389,CLF418
390,CMN161
391,CMN096
392,BF00040 - T_CTO Bfield2
393,CMN020
394,BF00015 - Brownfield Program Costs
395,CLF411
396,CMN174
397,CLF378
398,CMN120
399,BF00001 - East TC Well Reactivation - Category ODI
400,CLF210
401,CMN073
402,CLF206
403,BF00007 - TOGGS Option 2
404,CMN132
405,CFE033
406,CLF358
407,CMN135
408,CLF161
409,CLF211
410,CFE055
411,CMN052
412,CLF415
413,CM01017 - Banking Spring Gully
414,CFE035
415,CLF352
416,CMN064
417,BF00052 - CTO WHS to ODI Conversion
418,CFE010
419,CLF351
420,CLF375
421,CMN144
422,CFE014
423,CM00003 - Armour Purchases
424,CMN109
425,CMN153
426,CLF163
427,CFE042
428,CMN006
429,CMN116
430,CMN072
431,CMN124
432,CMN094
433,CMN095
434,BF00044 - Bellevue to CNN
435,CFE024
436,CLF376
437,CLF297
438,CLF257
439,BF00010 - Talinga Throttling Valves
440,CMN048
441,CM01013 - Toll APA RBP Westenhaul Placeholder
442,CFE039
443,CMN165
